Pos,Departamento,Población estimada INEI (2020)​[1],Capital,Superficie(km²),Densidad(hab/km²)
1,Lima,10 692 926,Lima,"34 801,59","242,4"
2,Piura,2 047 954,Piura,"35 892,49","52,1"
3,La Libertad,2 016 771,Trujillo,"25 499,9","69,7"
4,Arequipa,1 497 438,Arequipa,"63 345,39","21,8"
5,Cajamarca,1 453 711,Cajamarca,"33 317,54","40,3"
6,Junín,1 361 467,Huancayo,"44 197,23","32,4"
7,Cusco,1 357 075,Cusco,"71 986,50","16,7"
8,Lambayeque,1 310 785,Chiclayo,"14 231,3","82,8"
9,Puno,1 237 997,Puno,"71 999,00","17,5"
10,Áncash,1 180 638,Huaraz,"35 914,81","30,2"
11,Loreto,1 027 559,Iquitos,"368 851,95","2,4"
12,Ica,975 182,Ica,"21 327,83","39,9"
13,San Martín,899 648,Moyobamba,"51 253,31","15,9"
14,Huánuco,760 267,Huánuco,"36 848,85","19,3"
15,Ayacucho,668 213,Ayacucho,"43 814,80","14,1"
16,Ucayali,589 110,Pucallpa,"102 410,55","4,9"
17,Apurímac,430 736,Abancay,"20 895,79","19,4"
18,Amazonas,426 806,Chachapoyas,"39 249,13","9,7"
19,Tacna,370 974,Tacna,"16 075,89","20,5"
20,Huancavelica,365 317,Huancavelica,"22 131,47","15,7"
21,Pasco,271 904,Cerro de Pasco,"25 319,59","10,2"
22,Tumbes,251 521,Tumbes,"4669,20","48,2"
23,Moquegua,192 740,Moquegua,"15 733,97","11,1"
24,Madre de Dios,173 811,Puerto Maldonado,"85 300,54","1,7"
-,Callao,1 129 854,Callao,"146,98","6815,8"
